Date,Sleep,Rating,Miles,Location,Focus
7/25/21,9,5,3.25,Colorado,Music
7/26/21,8,5,3,Colorado,Music
7/27/21,7,5,2.75,Colorado,Friends/Family
7/28/21,9,6,3.25,Colorado,Music
7/29/21,7,4,4,Colorado,Stats
7/30/21,5,6,7.75,Colorado,Stats
7/31/21,10,5,2.75,Colorado,Psychology
8/1/21,9,6,2.5,Colorado,Woodworking
8/2/21,8,5,3,Colorado,Stats
8/3/21,10,6,2.75,Colorado,Music
8/4/21,9,6,3,Colorado,Stats
8/5/21,7,5,3.25,Colorado,Music
8/6/21,8,5,2,Colorado,Friends/Family
8/7/21,7,5,2.25,Pennsylvania,Friends/Family
8/8/21,8,5,3.75,Pennsylvania,Music
8/9/21,8,5,2.75,Pennsylvania,Stats
8/10/21,8,6,3.75,Pennsylvania,Psychology
8/11/21,7,7,3.25,Pennsylvania,Stats
8/12/21,9,7,2.75,Pennsylvania,Stats
8/13/21,10,7,3.5,Pennsylvania,Stats
8/14/21,8,5,3,Ohio,Stats
8/15/21,8,6,2.5,Ohio,Music
8/16/21,6,4,4.25,Ohio,Stats
8/17/21,7,5,2.75,Ohio,Stats
8/18/21,6,7,3,Ohio,Music
8/19/21,10,5,3.25,Ohio,Music
8/20/21,5,5,4,Ohio,Psychology
8/21/21,10,6,2,Ohio,Psychology
8/22/21,8,5,3,Ohio,Music
8/23/21,9,5,3.25,Ohio,Psychology
8/24/21,9,5,1.75,Ohio,Psychology
8/25/21,9,6,2.75,Ohio,Stats
8/26/21,8,5,1.5,Ohio,Stats
8/27/21,9,4,3,Ohio,Friends/Family
8/28/21,6,5,3.25,Ohio,Psychology
8/29/21,11,5,3,Ohio,Tennis/Hiking
8/30/21,10,6,3.25,Ohio,Stats
8/31/21,10,6,2.75,Ohio,Stats
9/1/21,9,5,3.25,Ohio,Music
9/2/21,9,5,1.5,Ohio,Psychology
9/3/21,9,5,5.5,Ohio,Stats
9/4/21,7,5,2,Ohio,Friends/Family
9/5/21,3,5,2.75,Ohio,Stats
9/6/21,9,6,4,Ohio,Friends/Family
9/7/21,8,5,3.25,Ohio,Stats
9/8/21,8,5,3.25,Ohio,Stats
9/9/21,10,6,2,Ohio,Stats
9/10/21,8,3,2.5,Ohio,Stats
9/11/21,8,5,2,Ohio,Stats
9/12/21,7,3,2.75,Ohio,Friends/Family
9/13/21,7,7,2.75,Ohio,Psychology
9/14/21,7,5,4.5,Ohio,Music
9/15/21,8,5,1,Ohio,Psychology
9/16/21,9,5,2,Ohio,Music
9/17/21,8,4,2.75,Ohio,Friends/Family
9/18/21,9,5,3.75,Ohio,Music
9/19/21,10,6,3.25,Ohio,Music
9/20/21,6,5,3.5,Ohio,Psychology
9/21/21,6,6,4.25,Ohio,Spanish
9/22/21,9,5,2,Ohio,Stats
9/23/21,6,6,2.75,Ohio,Psychology
9/24/21,9,5,2.25,Ohio,Woodworking
9/25/21,7,6,2,Ohio,Psychology
9/26/21,11,5,3.5,Ohio,Stats
9/27/21,8,4,3.25,Ohio,Psychology
9/28/21,9,5,2.5,Ohio,Stats
9/29/21,9,5,3.25,Ohio,Psychology
9/30/21,8,5,3.25,Ohio,Music
10/1/21,8,7,1.75,Ohio,Stats
10/2/21,10,8,3,Ohio,Psychology
10/3/21,5,3,1.75,Ohio,Stats
10/4/21,10,5,2.5,Ohio,Friends/Family
10/5/21,7,7,3.25,Ohio,Stats
10/6/21,8,6,2,Ohio,Stats
10/7/21,7,5,2.75,Ohio,Psychology
10/8/21,7,5,3,Ohio,Psychology
10/9/21,11,4,2,Ohio,Psychology
10/10/21,8,5,2,Ohio,Music
10/11/21,7,3,2,Ohio,Psychology
10/12/21,6,5,2.75,Ohio,Woodworking
10/13/21,7,6,3,Ohio,Psychology
10/14/21,8,4,4,Ohio,Stats
10/15/21,8,4,3.25,Ohio,Music
10/16/21,9,6,2.5,Ohio,Psychology
10/17/21,7,5,3,Ohio,Music
10/18/21,8,5,4.25,Ohio,Stats
10/19/21,7,5,3.75,Illinois,Chess
10/20/21,8,8,2.25,Illinois,Projects
10/21/21,6,4,3,Illinois,Stats
10/22/21,8,5,3,Illinois,Stats
10/23/21,9,7,3.25,Illinois,Stats
10/24/21,6,5,1.75,Illinois,Psychology
10/25/21,7,5,2.75,Illinois,Friends/Family
10/26/21,7,6,1.5,Illinois,Projects
10/27/21,8,4,1.25,Ohio,Music
10/28/21,6,5,1.25,Ohio,Music
10/29/21,8,3,2.5,Ohio,Friends/Family
10/30/21,10,5,3,Ohio,Tennis/Hiking
10/31/21,9,6,5,Ohio,Psychology
11/1/21,9,5,2,Ohio,Psychology
11/2/21,6,5,3.25,Ohio,Music
11/3/21,7,5,3.25,Ohio,Stats
11/4/21,7,6,2.5,Ohio,Stats
11/5/21,8,5,2.75,Ohio,Friends/Family
11/6/21,7,4,2,Ohio,Psychology
11/7/21,9,5,3.25,Ohio,Music
11/8/21,7,5,2.5,Ohio,Psychology
11/9/21,8,5,3,Ohio,Psychology
11/10/21,8,5,4.25,Ohio,Psychology
11/11/21,8,5,3.25,Ohio,Spanish
11/12/21,8,6,2.75,Ohio,Stats
11/13/21,8,5,3,Ohio,Music
11/14/21,6,4,2.75,Ohio,Psychology
11/15/21,8,6,3.25,Ohio,Psychology
11/16/21,6,6,3.25,Ohio,Psychology
